url,traceability_status,http_status,row_count,source_orgs,sample_source_title,sample_ids,final_url,content_type,bytes_sampled,error
https://www-pub.iaea.org/MTCD/Publications/PDF/Pub1578_web-57265295.pdf,open,200,6,IAEA,Radiation Protection and Safety of Radiation Sources: International Basic Safety Standards (GSR Part 3),KB-RECO-0349;KB-RECO-0350;KB-RECO-0351;KB-RECO-0352;KB-RECO-0353,https://www-pub.iaea.org/MTCD/Publications/PDF/Pub1578_web-57265295.pdf,application/pdf,65536,
https://www.acs.org/content/dam/acsorg/about/governance/committees/chemicalsafety/academic-safety-culture-report.pdf,open,200,1,American Chemical Society,ACS Creating Safety Cultures in Academic Institutions,KB-RECO-0294,https://www.acs.org/content/dam/acsorg/about/governance/committees/chemicalsafety/academic-safety-culture-report.pdf,text/html,212,
https://www.acs.org/content/dam/acsorg/acs-webinars/2018/slides/2018-10-11-lab-safety-culture-slides.pdf,open,200,1,American Chemical Society,ACS RAMP Safety Framework,KB-RECO-0295,https://www.acs.org/content/dam/acsorg/acs-webinars/2018/slides/2018-10-11-lab-safety-culture-slides.pdf,text/html,212,
https://www.agilent.com/cs/library/brochures/Getting_your_HPLC_Back_up_and_running_flyer.pdf,network_error,,1,Agilent Technologies,Getting your HPLC Back up and running flyer - Agilent,KB-PHASE4-0445,,,0,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
https://www.agilent.com/cs/library/eseminars/public/gc-detector-design-troubleshooting-flame-ionization-fid-theory-basics-gas-flows-july212020.pdf,network_error,,1,Agilent Technologies,Eliminating the Fear Factor - GC Detector Design and Troubleshooting,KB-PHASE4-0427,,,0,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
https://www.agilent.com/cs/library/primers/public/Best_Practice_LC_Operations.pdf,network_error,,2,Agilent Technologies,LC best practices tech note - Agilent,KB-PHASE4-0439;KB-PHASE4-0488,,,0,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
https://www.agilent.com/cs/library/sitepreparationchecklists/7800_7900_ICP-MS_Site_Preparation_Checklist_Rev.B.pdf,network_error,,1,Agilent Technologies,Agilent 7800/7900 ICP-MS Site Preparation Checklist,KB-PHASE4-0449,,,0,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
https://www.agilent.com/cs/library/sitepreparationchecklists/Agilent%208890%20GC%20Site%20Preparation%20Checklist.pdf,network_error,,1,Agilent Technologies,Agilent 8890 GC Site Preparation Checklist - Hydrogen Safety,KB-RECO-0001,,,0,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
https://www.agilent.com/cs/library/usermanuals/public/5971-6636_Atomic_Safety_Info_EN.pdf,network_error,,1,Agilent Technologies,Agilent Atomic Spectroscopy Safety Information - General Electrical Safety,KB-RECO-0029,,,0,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
https://www.agilent.com/cs/library/usermanuals/public/7890A%20GC%20User%20Manual%20Collection.pdf,network_error,,2,Agilent Technologies,Agilent 7890A GC User Manual Collection,KB-PHASE4-0428;KB-PHASE4-0480,,,0,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
